,file_name,no,province,expected_full,predicted_full,correct_full,pred_no_only,correct_no,pred_province,correct_province,gt_digits,pred_digits,correct_digits
0,./crop_image/1731048366440_plate1.jpg,3ฒร4386,กรุงเทพมหานคร,3ฒร4386กรุงเทพมหานคร,3ฒร4386กรุงเทพมหานคร,True,3ฒร4386,True,กรุงเทพมหานคร,True,34386,34386,True
1,./crop_image/1731059493469_plate1.jpg,2ฒศ54,กรุงเทพมหานคร,2ฒศ54กรุงเทพมหานคร,2ฒฦ54กรุงเทพมหานคร,False,2ฒฦ54,False,กรุงเทพมหานคร,True,254,254,True
2,./crop_image/1731918177685_plate1.jpg,3ฒน574,กรุงเทพมหานคร,3ฒน574กรุงเทพมหานคร,3ฒน574กรุงเทพมหานคร,True,3ฒน574,True,กรุงเทพมหานคร,True,3574,3574,True
3,./crop_image/1731915960491_plate1.jpg,330587,กรุงเทพมหานคร,330587กรุงเทพมหานคร,330587กรุงเทพมหานคร,True,330587,True,กรุงเทพมหานคร,True,330587,330587,True
4,./crop_image/1731209439837_plate1.jpg,4กญ7487,กรุงเทพมหานคร,4กญ7487กรุงเทพมหานคร,4กญ7487กรุงเทพมหานคร,True,4กญ7487,True,กรุงเทพมหานคร,True,47487,47487,True
5,./crop_image/1745478429499_plate1.jpg,3ฒย7363,กรุงเทพมหานคร,3ฒย7363กรุงเทพมหานคร,3ฒย7363กรุงเทพมหานคร,True,3ฒย7363,True,กรุงเทพมหานคร,True,37363,37363,True
6,./crop_image/1731897860768_plate1.jpg,ฒญ3359,กรุงเทพมหานคร,ฒญ3359กรุงเทพมหานคร,ฒญ3359กรุงเทพมหานคร,True,ฒญ3359,True,กรุงเทพมหานคร,True,3359,3359,True
7,./crop_image/1731540415808_plate1.jpg,2ฒถ4767,กรุงเทพมหานคร,2ฒถ4767กรุงเทพมหานคร,2ฒถ4767กรุงเทพมหานคร,True,2ฒถ4767,True,กรุงเทพมหานคร,True,24767,24767,True
8,./crop_image/1731832200561_plate1.jpg,ท4029,กรุงเทพมหานคร,ท4029กรุงเทพมหานคร,4029กรุงเทพมหานคร,False,4029,False,กรุงเทพมหานคร,True,4029,4029,True
9,./crop_image/1731926305978_plate1.jpg,3ฒข4134,กรุงเทพมหานคร,3ฒข4134กรุงเทพมหานคร,3ฒข4134กรุงเทพมหานคร,True,3ฒข4134,True,กรุงเทพมหานคร,True,34134,34134,True
10,./crop_image/1731636779383_plate1.jpg,1ขธ4207,กรุงเทพมหานคร,1ขธ4207กรุงเทพมหานคร,1ขธ4207กรุงเทพมหานคร,True,1ขธ4207,True,กรุงเทพมหานคร,True,14207,14207,True
11,./crop_image/1731636779383_plate1.jpg,1ขธ4207,กรุงเทพมหานคร,1ขธ4207กรุงเทพมหานคร,1ขธ4207กรุงเทพมหานคร,True,1ขธ4207,True,กรุงเทพมหานคร,True,14207,14207,True
12,./crop_image/1731827048068_plate1.jpg,2ฒบ5760,กรุงเทพมหานคร,2ฒบ5760กรุงเทพมหานคร,2ฒบ5760กรุงเทพมหานคร,True,2ฒบ5760,True,กรุงเทพมหานคร,True,25760,25760,True
13,./crop_image/1731661044126_plate1.jpg,2ฆศ54,กรุงเทพมหานคร,2ฆศ54กรุงเทพมหานคร,2ฒฦ54กรุงเทพมหานคร,False,2ฒฦ54,False,กรุงเทพมหานคร,True,254,254,True
14,./crop_image/1734134998533_plate1.jpg,3ฒช9482,กรุงเทพมหานคร,3ฒช9482กรุงเทพมหานคร,3ฒช9482กรุงเทพมหานคร,True,3ฒช9482,True,กรุงเทพมหานคร,True,39482,39482,True
15,./crop_image/1745898239255_plate1.jpg,ยฉ5724,นครราชสีมา,ยฉ5724นครราชสีมา,ยฉ5724นครราชสีมา,True,ยฉ5724,True,นครราชสีมา,True,5724,5724,True
16,./crop_image/1731980617299_plate1.jpg,3ฒร4386,กรุงเทพมหานคร,3ฒร4386กรุงเทพมหานคร,3ฒร4386กรุงเทพมหานคร,True,3ฒร4386,True,กรุงเทพมหานคร,True,34386,34386,True
17,./crop_image/1731926305978_plate1.jpg,3ฒข4134,กรุงเทพมหานคร,3ฒข4134กรุงเทพมหานคร,3ฒข4134กรุงเทพมหานคร,True,3ฒข4134,True,กรุงเทพมหานคร,True,34134,34134,True
18,./crop_image/1731739411659_plate1.jpg,724686,นครปฐม,724686นครปฐม,724686นครปฐม,True,724686,True,นครปฐม,True,724686,724686,True
19,./crop_image/1731115359926_plate1.jpg,3ฒฬ3420,กรุงเทพมหานคร,3ฒฬ3420กรุงเทพมหานคร,3ฒส3420กรุงเทพมหานคร,False,3ฒส3420,False,กรุงเทพมหานคร,True,33420,33420,True
20,./crop_image/1731020615157_plate1.jpg,3ฒญ2697,กรุงเทพมหานคร,3ฒญ2697กรุงเทพมหานคร,3ฒญ2697กรุงเทพมหานคร,True,3ฒญ2697,True,กรุงเทพมหานคร,True,32697,32697,True
